Using device: cuda
Episode 0, Total Reward: 2.0, Total Frames: 23, epsilon 0.9999769999999993
Episode 2115, Total Reward: 0.0, Total Frames: 13589, epsilon 0.9864109999996092
Episode 2116, Total Reward: 0.0, Total Frames: 13591, epsilon 0.9864089999996092
Episode 2117, Total Reward: 0.0, Total Frames: 13593, epsilon 0.9864069999996091
Episode 2118, Total Reward: 0.0, Total Frames: 13595, epsilon 0.9864049999996091
Episode 2119, Total Reward: 1.0, Total Frames: 13608, epsilon 0.9863919999996087
Episode 2120, Total Reward: 0.0, Total Frames: 13610, epsilon 0.9863899999996086
Episode 2121, Total Reward: 0.0, Total Frames: 13612, epsilon 0.9863879999996086
Episode 2122, Total Reward: 1.0, Total Frames: 13623, epsilon 0.9863769999996083
Episode 2123, Total Reward: 0.0, Total Frames: 13630, epsilon 0.9863699999996081
Episode 2124, Total Reward: 1.0, Total Frames: 13642, epsilon 0.9863579999996077
Episode 2125, Total Reward: 0.0, Total Frames: 13644, epsilon 0.9863559999996077
Episode 2126, Total Reward: 0.0, Total Frames: 13646, epsilon 0.9863539999996076
Episode 2127, Total Reward: 3.0, Total Frames: 13679, epsilon 0.9863209999996067
Episode 2128, Total Reward: 1.0, Total Frames: 13693, epsilon 0.9863069999996062
Episode 2129, Total Reward: 0.0, Total Frames: 13695, epsilon 0.9863049999996062
Episode 2130, Total Reward: 2.0, Total Frames: 13715, epsilon 0.9862849999996056
Episode 2131, Total Reward: 0.0, Total Frames: 13717, epsilon 0.9862829999996056
Episode 2132, Total Reward: 1.0, Total Frames: 13729, epsilon 0.9862709999996052
Episode 2133, Total Reward: 0.0, Total Frames: 13731, epsilon 0.9862689999996052
Episode 2134, Total Reward: 0.0, Total Frames: 13733, epsilon 0.9862669999996051
Episode 2135, Total Reward: 2.0, Total Frames: 13753, epsilon 0.9862469999996045
Episode 2136, Total Reward: 0.0, Total Frames: 13755, epsilon 0.9862449999996045
Episode 2137, Total Reward: 0.0, Total Frames: 13757, epsilon 0.9862429999996044
Episode 2138, Total Reward: 0.0, Total Frames: 13759, epsilon 0.9862409999996044
Episode 2139, Total Reward: 0.0, Total Frames: 13761, epsilon 0.9862389999996043
Episode 2140, Total Reward: 0.0, Total Frames: 13763, epsilon 0.9862369999996042
Episode 2141, Total Reward: 0.0, Total Frames: 13765, epsilon 0.9862349999996042
Episode 2142, Total Reward: 0.0, Total Frames: 13767, epsilon 0.9862329999996041
Episode 2143, Total Reward: 0.0, Total Frames: 13769, epsilon 0.9862309999996041
Episode 2144, Total Reward: 0.0, Total Frames: 13771, epsilon 0.986228999999604
Episode 2145, Total Reward: 2.0, Total Frames: 13789, epsilon 0.9862109999996035
Episode 2146, Total Reward: 0.0, Total Frames: 13796, epsilon 0.9862039999996033
Episode 2147, Total Reward: 0.0, Total Frames: 13798, epsilon 0.9862019999996032
Episode 2148, Total Reward: 0.0, Total Frames: 13800, epsilon 0.9861999999996032
Episode 2149, Total Reward: 0.0, Total Frames: 13802, epsilon 0.9861979999996031
Episode 2150, Total Reward: 0.0, Total Frames: 13804, epsilon 0.9861959999996031
Episode 2151, Total Reward: 0.0, Total Frames: 13806, epsilon 0.986193999999603
Episode 2152, Total Reward: 2.0, Total Frames: 13830, epsilon 0.9861699999996023
Episode 2153, Total Reward: 0.0, Total Frames: 13832, epsilon 0.9861679999996023
Episode 2154, Total Reward: 0.0, Total Frames: 13834, epsilon 0.9861659999996022
Episode 2155, Total Reward: 2.0, Total Frames: 13854, epsilon 0.9861459999996016
Episode 2156, Total Reward: 0.0, Total Frames: 13856, epsilon 0.9861439999996016
Episode 2157, Total Reward: 2.0, Total Frames: 13880, epsilon 0.9861199999996009
Episode 2158, Total Reward: 0.0, Total Frames: 13882, epsilon 0.9861179999996008
Episode 2159, Total Reward: 0.0, Total Frames: 13884, epsilon 0.9861159999996008
Episode 2160, Total Reward: 1.0, Total Frames: 13897, epsilon 0.9861029999996004
Episode 2161, Total Reward: 1.0, Total Frames: 13911, epsilon 0.9860889999996
Episode 2162, Total Reward: 1.0, Total Frames: 13925, epsilon 0.9860749999995996
Episode 2163, Total Reward: 0.0, Total Frames: 13927, epsilon 0.9860729999995995
Episode 2164, Total Reward: 0.0, Total Frames: 13929, epsilon 0.9860709999995995
Episode 2165, Total Reward: 2.0, Total Frames: 13950, epsilon 0.9860499999995989
Episode 2166, Total Reward: 0.0, Total Frames: 13952, epsilon 0.9860479999995988
Episode 2167, Total Reward: 0.0, Total Frames: 13954, epsilon 0.9860459999995987
Episode 2168, Total Reward: 0.0, Total Frames: 13956, epsilon 0.9860439999995987
Episode 2169, Total Reward: 1.0, Total Frames: 13967, epsilon 0.9860329999995984
Episode 2170, Total Reward: 1.0, Total Frames: 13986, epsilon 0.9860139999995978
Episode 2171, Total Reward: 1.0, Total Frames: 14011, epsilon 0.9859889999995971
Episode 2172, Total Reward: 0.0, Total Frames: 14018, epsilon 0.9859819999995969
Episode 2173, Total Reward: 0.0, Total Frames: 14020, epsilon 0.9859799999995968
Episode 2174, Total Reward: 0.0, Total Frames: 14022, epsilon 0.9859779999995968
Episode 2175, Total Reward: 0.0, Total Frames: 14024, epsilon 0.9859759999995967
Episode 2176, Total Reward: 0.0, Total Frames: 14026, epsilon 0.9859739999995967
Episode 2177, Total Reward: 1.0, Total Frames: 14039, epsilon 0.9859609999995963
Episode 2178, Total Reward: 0.0, Total Frames: 14041, epsilon 0.9859589999995962
Episode 2179, Total Reward: 1.0, Total Frames: 14053, epsilon 0.9859469999995959
Episode 2180, Total Reward: 2.0, Total Frames: 14073, epsilon 0.9859269999995953
Episode 2181, Total Reward: 0.0, Total Frames: 14075, epsilon 0.9859249999995953
Episode 2182, Total Reward: 1.0, Total Frames: 14087, epsilon 0.9859129999995949
Episode 2183, Total Reward: 0.0, Total Frames: 14089, epsilon 0.9859109999995949
Episode 2184, Total Reward: 1.0, Total Frames: 14103, epsilon 0.9858969999995945
Episode 2185, Total Reward: 0.0, Total Frames: 14105, epsilon 0.9858949999995944
Episode 2186, Total Reward: 0.0, Total Frames: 14107, epsilon 0.9858929999995943
Episode 2187, Total Reward: 0.0, Total Frames: 14109, epsilon 0.9858909999995943
Episode 2188, Total Reward: 0.0, Total Frames: 14111, epsilon 0.9858889999995942
Episode 2189, Total Reward: 0.0, Total Frames: 14113, epsilon 0.9858869999995942
Episode 2190, Total Reward: 0.0, Total Frames: 14115, epsilon 0.9858849999995941
Episode 2191, Total Reward: 0.0, Total Frames: 14117, epsilon 0.9858829999995941
Episode 2192, Total Reward: 0.0, Total Frames: 14119, epsilon 0.985880999999594
Episode 2193, Total Reward: 0.0, Total Frames: 14121, epsilon 0.9858789999995939
Episode 2194, Total Reward: 0.0, Total Frames: 14123, epsilon 0.9858769999995939
Episode 2195, Total Reward: 1.0, Total Frames: 14136, epsilon 0.9858639999995935
Episode 2196, Total Reward: 0.0, Total Frames: 14147, epsilon 0.9858529999995932
Episode 2197, Total Reward: 0.0, Total Frames: 14149, epsilon 0.9858509999995931
Episode 2198, Total Reward: 1.0, Total Frames: 14161, epsilon 0.9858389999995928
Episode 2199, Total Reward: 0.0, Total Frames: 14163, epsilon 0.9858369999995927
Episode 2200, Total Reward: 0.0, Total Frames: 14165, epsilon 0.9858349999995927
Episode 2201, Total Reward: 0.0, Total Frames: 14167, epsilon 0.9858329999995926
Episode 2202, Total Reward: 1.0, Total Frames: 14180, epsilon 0.9858199999995922
Episode 2203, Total Reward: 0.0, Total Frames: 14191, epsilon 0.9858089999995919
Episode 2204, Total Reward: 0.0, Total Frames: 14193, epsilon 0.9858069999995919
Episode 2205, Total Reward: 1.0, Total Frames: 14204, epsilon 0.9857959999995916
Episode 2206, Total Reward: 1.0, Total Frames: 14219, epsilon 0.9857809999995911
Episode 2207, Total Reward: 0.0, Total Frames: 14221, epsilon 0.9857789999995911
Episode 2208, Total Reward: 0.0, Total Frames: 14223, epsilon 0.985776999999591
Episode 2209, Total Reward: 0.0, Total Frames: 14225, epsilon 0.985774999999591
Episode 2210, Total Reward: 2.0, Total Frames: 14243, epsilon 0.9857569999995904
Episode 2211, Total Reward: 1.0, Total Frames: 14258, epsilon 0.98574199999959
Episode 2212, Total Reward: 2.0, Total Frames: 14278, epsilon 0.9857219999995894
Episode 2213, Total Reward: 0.0, Total Frames: 14280, epsilon 0.9857199999995894
Episode 2214, Total Reward: 1.0, Total Frames: 14292, epsilon 0.985707999999589
Episode 2215, Total Reward: 0.0, Total Frames: 14307, epsilon 0.9856929999995886
Episode 2216, Total Reward: 0.0, Total Frames: 14309, epsilon 0.9856909999995885
Episode 2217, Total Reward: 0.0, Total Frames: 14311, epsilon 0.9856889999995885
Episode 2218, Total Reward: 1.0, Total Frames: 14324, epsilon 0.9856759999995881
Episode 2219, Total Reward: 1.0, Total Frames: 14338, epsilon 0.9856619999995877
Episode 2220, Total Reward: 0.0, Total Frames: 14340, epsilon 0.9856599999995876
Episode 2221, Total Reward: 0.0, Total Frames: 14342, epsilon 0.9856579999995876
Episode 2222, Total Reward: 0.0, Total Frames: 14344, epsilon 0.9856559999995875
Episode 2223, Total Reward: 0.0, Total Frames: 14346, epsilon 0.9856539999995875
Episode 2224, Total Reward: 0.0, Total Frames: 14348, epsilon 0.9856519999995874
Episode 2225, Total Reward: 0.0, Total Frames: 14350, epsilon 0.9856499999995874
Episode 2226, Total Reward: 0.0, Total Frames: 14352, epsilon 0.9856479999995873
Episode 2227, Total Reward: 0.0, Total Frames: 14354, epsilon 0.9856459999995872
Episode 2228, Total Reward: 0.0, Total Frames: 14356, epsilon 0.9856439999995872
Episode 2229, Total Reward: 0.0, Total Frames: 14358, epsilon 0.9856419999995871
Episode 2230, Total Reward: 3.0, Total Frames: 14386, epsilon 0.9856139999995863
Episode 2231, Total Reward: 0.0, Total Frames: 14388, epsilon 0.9856119999995863
Episode 2232, Total Reward: 0.0, Total Frames: 14390, epsilon 0.9856099999995862
Episode 2233, Total Reward: 2.0, Total Frames: 14410, epsilon 0.9855899999995856
Episode 2234, Total Reward: 0.0, Total Frames: 14412, epsilon 0.9855879999995856
Episode 2235, Total Reward: 1.0, Total Frames: 14424, epsilon 0.9855759999995852
Episode 2236, Total Reward: 0.0, Total Frames: 14426, epsilon 0.9855739999995852
Episode 2237, Total Reward: 1.0, Total Frames: 14439, epsilon 0.9855609999995848
Episode 2238, Total Reward: 0.0, Total Frames: 14441, epsilon 0.9855589999995847
Episode 2239, Total Reward: 2.0, Total Frames: 14464, epsilon 0.9855359999995841
Episode 2240, Total Reward: 0.0, Total Frames: 14466, epsilon 0.985533999999584
Episode 2241, Total Reward: 0.0, Total Frames: 14468, epsilon 0.985531999999584
Episode 2242, Total Reward: 2.0, Total Frames: 14486, epsilon 0.9855139999995834
Episode 2243, Total Reward: 0.0, Total Frames: 14488, epsilon 0.9855119999995834
Episode 2244, Total Reward: 0.0, Total Frames: 14490, epsilon 0.9855099999995833
Episode 2245, Total Reward: 1.0, Total Frames: 14504, epsilon 0.9854959999995829
Episode 2246, Total Reward: 0.0, Total Frames: 14506, epsilon 0.9854939999995829
Episode 2247, Total Reward: 1.0, Total Frames: 14519, epsilon 0.9854809999995825
Episode 2248, Total Reward: 1.0, Total Frames: 14533, epsilon 0.9854669999995821
Episode 2249, Total Reward: 0.0, Total Frames: 14535, epsilon 0.985464999999582
Episode 2250, Total Reward: 1.0, Total Frames: 14547, epsilon 0.9854529999995817
Episode 2251, Total Reward: 1.0, Total Frames: 14560, epsilon 0.9854399999995813
Episode 2252, Total Reward: 0.0, Total Frames: 14567, epsilon 0.9854329999995811
Episode 2253, Total Reward: 0.0, Total Frames: 14569, epsilon 0.9854309999995811
Episode 2254, Total Reward: 1.0, Total Frames: 14583, epsilon 0.9854169999995807
Episode 2255, Total Reward: 0.0, Total Frames: 14585, epsilon 0.9854149999995806
Episode 2256, Total Reward: 0.0, Total Frames: 14587, epsilon 0.9854129999995805
Episode 2257, Total Reward: 0.0, Total Frames: 14589, epsilon 0.9854109999995805
Episode 2258, Total Reward: 0.0, Total Frames: 14591, epsilon 0.9854089999995804
Episode 2259, Total Reward: 0.0, Total Frames: 14593, epsilon 0.9854069999995804
Episode 2260, Total Reward: 0.0, Total Frames: 14595, epsilon 0.9854049999995803
Episode 2261, Total Reward: 0.0, Total Frames: 14597, epsilon 0.9854029999995803
Episode 2262, Total Reward: 0.0, Total Frames: 14599, epsilon 0.9854009999995802
Episode 2263, Total Reward: 2.0, Total Frames: 14623, epsilon 0.9853769999995795
Episode 2264, Total Reward: 0.0, Total Frames: 14625, epsilon 0.9853749999995794
Episode 2265, Total Reward: 0.0, Total Frames: 14627, epsilon 0.9853729999995794
Episode 2266, Total Reward: 0.0, Total Frames: 14629, epsilon 0.9853709999995793
Episode 2267, Total Reward: 2.0, Total Frames: 14649, epsilon 0.9853509999995788
Episode 2268, Total Reward: 0.0, Total Frames: 14651, epsilon 0.9853489999995787
Episode 2269, Total Reward: 1.0, Total Frames: 14663, epsilon 0.9853369999995784
Episode 2270, Total Reward: 0.0, Total Frames: 14665, epsilon 0.9853349999995783
Episode 2271, Total Reward: 0.0, Total Frames: 14667, epsilon 0.9853329999995782
Episode 2272, Total Reward: 0.0, Total Frames: 14669, epsilon 0.9853309999995782
Episode 2273, Total Reward: 0.0, Total Frames: 14671, epsilon 0.9853289999995781
Episode 2274, Total Reward: 0.0, Total Frames: 14673, epsilon 0.9853269999995781
Episode 2275, Total Reward: 2.0, Total Frames: 14693, epsilon 0.9853069999995775
Episode 2276, Total Reward: 0.0, Total Frames: 14695, epsilon 0.9853049999995774
Episode 2277, Total Reward: 1.0, Total Frames: 14709, epsilon 0.985290999999577
Episode 2278, Total Reward: 0.0, Total Frames: 14711, epsilon 0.985288999999577
Episode 2279, Total Reward: 0.0, Total Frames: 14713, epsilon 0.9852869999995769
Episode 2280, Total Reward: 0.0, Total Frames: 14715, epsilon 0.9852849999995769
Episode 2281, Total Reward: 0.0, Total Frames: 14726, epsilon 0.9852739999995765
Episode 2282, Total Reward: 0.0, Total Frames: 14728, epsilon 0.9852719999995765
Episode 2283, Total Reward: 1.0, Total Frames: 14739, epsilon 0.9852609999995762
Episode 2284, Total Reward: 2.0, Total Frames: 14759, epsilon 0.9852409999995756
Episode 2285, Total Reward: 0.0, Total Frames: 14761, epsilon 0.9852389999995755
Episode 2286, Total Reward: 1.0, Total Frames: 14775, epsilon 0.9852249999995751
Episode 2287, Total Reward: 1.0, Total Frames: 14789, epsilon 0.9852109999995747
Episode 2288, Total Reward: 0.0, Total Frames: 14791, epsilon 0.9852089999995747
Episode 2289, Total Reward: 1.0, Total Frames: 14804, epsilon 0.9851959999995743
Episode 2290, Total Reward: 1.0, Total Frames: 14825, epsilon 0.9851749999995737
Episode 2291, Total Reward: 0.0, Total Frames: 14827, epsilon 0.9851729999995736
Episode 2292, Total Reward: 1.0, Total Frames: 14841, epsilon 0.9851589999995732
Episode 2293, Total Reward: 0.0, Total Frames: 14843, epsilon 0.9851569999995732
Episode 2294, Total Reward: 0.0, Total Frames: 14845, epsilon 0.9851549999995731
Episode 2295, Total Reward: 2.0, Total Frames: 14865, epsilon 0.9851349999995725
Episode 2296, Total Reward: 0.0, Total Frames: 14867, epsilon 0.9851329999995725
Episode 2297, Total Reward: 0.0, Total Frames: 14869, epsilon 0.9851309999995724
Episode 2298, Total Reward: 0.0, Total Frames: 14871, epsilon 0.9851289999995724
Episode 2299, Total Reward: 0.0, Total Frames: 14873, epsilon 0.9851269999995723
Episode 2300, Total Reward: 1.0, Total Frames: 14886, epsilon 0.9851139999995719
Episode 2301, Total Reward: 0.0, Total Frames: 14888, epsilon 0.9851119999995719
Episode 2302, Total Reward: 0.0, Total Frames: 14890, epsilon 0.9851099999995718
Episode 2303, Total Reward: 0.0, Total Frames: 14892, epsilon 0.9851079999995718
Episode 2304, Total Reward: 0.0, Total Frames: 14894, epsilon 0.9851059999995717
Episode 2305, Total Reward: 0.0, Total Frames: 14896, epsilon 0.9851039999995717
Episode 2306, Total Reward: 0.0, Total Frames: 14898, epsilon 0.9851019999995716
Episode 2307, Total Reward: 1.0, Total Frames: 14911, epsilon 0.9850889999995712
Episode 2308, Total Reward: 1.0, Total Frames: 14924, epsilon 0.9850759999995709
Episode 2309, Total Reward: 0.0, Total Frames: 14926, epsilon 0.9850739999995708
Episode 2310, Total Reward: 1.0, Total Frames: 14938, epsilon 0.9850619999995704
Episode 2311, Total Reward: 0.0, Total Frames: 14951, epsilon 0.9850489999995701
Episode 2312, Total Reward: 0.0, Total Frames: 14953, epsilon 0.98504699999957
Episode 2313, Total Reward: 0.0, Total Frames: 14955, epsilon 0.98504499999957
Episode 2314, Total Reward: 0.0, Total Frames: 14957, epsilon 0.9850429999995699
Episode 2315, Total Reward: 0.0, Total Frames: 14959, epsilon 0.9850409999995698
Episode 2316, Total Reward: 0.0, Total Frames: 14961, epsilon 0.9850389999995698
Episode 2317, Total Reward: 0.0, Total Frames: 14963, epsilon 0.9850369999995697
Episode 2318, Total Reward: 0.0, Total Frames: 14965, epsilon 0.9850349999995697
Episode 2319, Total Reward: 0.0, Total Frames: 14967, epsilon 0.9850329999995696
Episode 2320, Total Reward: 2.0, Total Frames: 14987, epsilon 0.985012999999569
Episode 2321, Total Reward: 0.0, Total Frames: 14995, epsilon 0.9850049999995688
Episode 2322, Total Reward: 0.0, Total Frames: 14997, epsilon 0.9850029999995688
Episode 2323, Total Reward: 1.0, Total Frames: 15008, epsilon 0.9849919999995684
Episode 2324, Total Reward: 0.0, Total Frames: 15016, epsilon 0.9849839999995682
Episode 2325, Total Reward: 0.0, Total Frames: 15018, epsilon 0.9849819999995681
Episode 2326, Total Reward: 0.0, Total Frames: 15028, epsilon 0.9849719999995679
Episode 2327, Total Reward: 0.0, Total Frames: 15030, epsilon 0.9849699999995678
Episode 2328, Total Reward: 2.0, Total Frames: 15048, epsilon 0.9849519999995673
Episode 2329, Total Reward: 0.0, Total Frames: 15050, epsilon 0.9849499999995672
Episode 2330, Total Reward: 0.0, Total Frames: 15052, epsilon 0.9849479999995672
Episode 2331, Total Reward: 0.0, Total Frames: 15054, epsilon 0.9849459999995671
Episode 2332, Total Reward: 1.0, Total Frames: 15065, epsilon 0.9849349999995668
Episode 2333, Total Reward: 0.0, Total Frames: 15067, epsilon 0.9849329999995667
Episode 2334, Total Reward: 4.0, Total Frames: 15105, epsilon 0.9848949999995656
Episode 2335, Total Reward: 1.0, Total Frames: 15119, epsilon 0.9848809999995652
Episode 2336, Total Reward: 0.0, Total Frames: 15127, epsilon 0.984872999999565
Episode 2337, Total Reward: 1.0, Total Frames: 15141, epsilon 0.9848589999995646
Episode 2338, Total Reward: 0.0, Total Frames: 15143, epsilon 0.9848569999995646
Episode 2339, Total Reward: 0.0, Total Frames: 15145, epsilon 0.9848549999995645
Episode 2340, Total Reward: 0.0, Total Frames: 15147, epsilon 0.9848529999995644
Episode 2341, Total Reward: 1.0, Total Frames: 15160, epsilon 0.9848399999995641
Episode 2342, Total Reward: 1.0, Total Frames: 15174, epsilon 0.9848259999995637
Episode 2343, Total Reward: 0.0, Total Frames: 15176, epsilon 0.9848239999995636
Episode 2344, Total Reward: 1.0, Total Frames: 15189, epsilon 0.9848109999995632
Episode 2345, Total Reward: 0.0, Total Frames: 15191, epsilon 0.9848089999995632
Episode 2346, Total Reward: 1.0, Total Frames: 15203, epsilon 0.9847969999995628
Episode 2347, Total Reward: 1.0, Total Frames: 15216, epsilon 0.9847839999995625
Episode 2348, Total Reward: 0.0, Total Frames: 15224, epsilon 0.9847759999995622
Episode 2349, Total Reward: 0.0, Total Frames: 15226, epsilon 0.9847739999995622
Episode 2350, Total Reward: 0.0, Total Frames: 15228, epsilon 0.9847719999995621
Episode 2351, Total Reward: 0.0, Total Frames: 15230, epsilon 0.984769999999562
Episode 2352, Total Reward: 0.0, Total Frames: 15232, epsilon 0.984767999999562
Episode 2353, Total Reward: 0.0, Total Frames: 15234, epsilon 0.9847659999995619
Episode 2354, Total Reward: 0.0, Total Frames: 15236, epsilon 0.9847639999995619
Episode 2355, Total Reward: 0.0, Total Frames: 15238, epsilon 0.9847619999995618
Episode 2356, Total Reward: 0.0, Total Frames: 15240, epsilon 0.9847599999995618
Episode 2357, Total Reward: 2.0, Total Frames: 15264, epsilon 0.9847359999995611
Episode 2358, Total Reward: 0.0, Total Frames: 15266, epsilon 0.984733999999561
Episode 2359, Total Reward: 1.0, Total Frames: 15278, epsilon 0.9847219999995607
Episode 2360, Total Reward: 0.0, Total Frames: 15280, epsilon 0.9847199999995606
Episode 2361, Total Reward: 0.0, Total Frames: 15282, epsilon 0.9847179999995606
Episode 2362, Total Reward: 1.0, Total Frames: 15293, epsilon 0.9847069999995602
Episode 2363, Total Reward: 0.0, Total Frames: 15295, epsilon 0.9847049999995602
Episode 2364, Total Reward: 0.0, Total Frames: 15297, epsilon 0.9847029999995601
Episode 2365, Total Reward: 0.0, Total Frames: 15299, epsilon 0.9847009999995601
Episode 2366, Total Reward: 0.0, Total Frames: 15301, epsilon 0.98469899999956
Episode 2367, Total Reward: 0.0, Total Frames: 15303, epsilon 0.98469699999956
Episode 2368, Total Reward: 0.0, Total Frames: 15305, epsilon 0.9846949999995599
Episode 2369, Total Reward: 0.0, Total Frames: 15307, epsilon 0.9846929999995598
Episode 2370, Total Reward: 2.0, Total Frames: 15327, epsilon 0.9846729999995593
Episode 2371, Total Reward: 0.0, Total Frames: 15329, epsilon 0.9846709999995592
Episode 2372, Total Reward: 0.0, Total Frames: 15331, epsilon 0.9846689999995591
Episode 2373, Total Reward: 0.0, Total Frames: 15333, epsilon 0.9846669999995591
Episode 2374, Total Reward: 0.0, Total Frames: 15335, epsilon 0.984664999999559
Episode 2375, Total Reward: 0.0, Total Frames: 15337, epsilon 0.984662999999559
Episode 2376, Total Reward: 0.0, Total Frames: 15339, epsilon 0.9846609999995589
Episode 2377, Total Reward: 0.0, Total Frames: 15341, epsilon 0.9846589999995589
Episode 2378, Total Reward: 2.0, Total Frames: 15359, epsilon 0.9846409999995583
Episode 2379, Total Reward: 0.0, Total Frames: 15361, epsilon 0.9846389999995583
Episode 2380, Total Reward: 1.0, Total Frames: 15373, epsilon 0.9846269999995579
Episode 2381, Total Reward: 0.0, Total Frames: 15375, epsilon 0.9846249999995579
Episode 2382, Total Reward: 0.0, Total Frames: 15377, epsilon 0.9846229999995578
Episode 2383, Total Reward: 0.0, Total Frames: 15379, epsilon 0.9846209999995578
Episode 2384, Total Reward: 0.0, Total Frames: 15381, epsilon 0.9846189999995577
Episode 2385, Total Reward: 1.0, Total Frames: 15392, epsilon 0.9846079999995574
Episode 2386, Total Reward: 0.0, Total Frames: 15394, epsilon 0.9846059999995573
Episode 2387, Total Reward: 2.0, Total Frames: 15425, epsilon 0.9845749999995564
Episode 2388, Total Reward: 0.0, Total Frames: 15427, epsilon 0.9845729999995564
Episode 2389, Total Reward: 0.0, Total Frames: 15429, epsilon 0.9845709999995563
Episode 2390, Total Reward: 1.0, Total Frames: 15442, epsilon 0.984557999999556
Episode 2391, Total Reward: 0.0, Total Frames: 15444, epsilon 0.9845559999995559
Episode 2392, Total Reward: 0.0, Total Frames: 15446, epsilon 0.9845539999995558
Episode 2393, Total Reward: 0.0, Total Frames: 15448, epsilon 0.9845519999995558
Episode 2394, Total Reward: 1.0, Total Frames: 15460, epsilon 0.9845399999995554
Episode 2395, Total Reward: 0.0, Total Frames: 15462, epsilon 0.9845379999995554
Episode 2396, Total Reward: 0.0, Total Frames: 15464, epsilon 0.9845359999995553
Episode 2397, Total Reward: 0.0, Total Frames: 15466, epsilon 0.9845339999995553
Episode 2398, Total Reward: 1.0, Total Frames: 15477, epsilon 0.984522999999555
Episode 2399, Total Reward: 0.0, Total Frames: 15485, epsilon 0.9845149999995547
Episode 2400, Total Reward: 0.0, Total Frames: 15487, epsilon 0.9845129999995547
Episode 2401, Total Reward: 0.0, Total Frames: 15489, epsilon 0.9845109999995546
Episode 2402, Total Reward: 0.0, Total Frames: 15491, epsilon 0.9845089999995545
Episode 2403, Total Reward: 0.0, Total Frames: 15493, epsilon 0.9845069999995545
Episode 2404, Total Reward: 0.0, Total Frames: 15495, epsilon 0.9845049999995544
Episode 2405, Total Reward: 0.0, Total Frames: 15497, epsilon 0.9845029999995544
Episode 2406, Total Reward: 0.0, Total Frames: 15499, epsilon 0.9845009999995543
Episode 2407, Total Reward: 0.0, Total Frames: 15501, epsilon 0.9844989999995543
Episode 2408, Total Reward: 2.0, Total Frames: 15521, epsilon 0.9844789999995537
Episode 2409, Total Reward: 0.0, Total Frames: 15523, epsilon 0.9844769999995536
Episode 2410, Total Reward: 1.0, Total Frames: 15534, epsilon 0.9844659999995533
Episode 2411, Total Reward: 0.0, Total Frames: 15536, epsilon 0.9844639999995533
Episode 2412, Total Reward: 1.0, Total Frames: 15548, epsilon 0.9844519999995529
Episode 2413, Total Reward: 0.0, Total Frames: 15555, epsilon 0.9844449999995527
Episode 2414, Total Reward: 2.0, Total Frames: 15581, epsilon 0.984418999999552
Episode 2415, Total Reward: 0.0, Total Frames: 15589, epsilon 0.9844109999995517
Episode 2416, Total Reward: 0.0, Total Frames: 15591, epsilon 0.9844089999995517
Episode 2417, Total Reward: 0.0, Total Frames: 15593, epsilon 0.9844069999995516
Episode 2418, Total Reward: 0.0, Total Frames: 15595, epsilon 0.9844049999995516
Episode 2419, Total Reward: 1.0, Total Frames: 15606, epsilon 0.9843939999995512
Episode 2420, Total Reward: 0.0, Total Frames: 15608, epsilon 0.9843919999995512
Episode 2421, Total Reward: 0.0, Total Frames: 15610, epsilon 0.9843899999995511
Episode 2422, Total Reward: 1.0, Total Frames: 15621, epsilon 0.9843789999995508
Episode 2423, Total Reward: 0.0, Total Frames: 15623, epsilon 0.9843769999995508
Episode 2424, Total Reward: 0.0, Total Frames: 15625, epsilon 0.9843749999995507
Episode 2425, Total Reward: 0.0, Total Frames: 15627, epsilon 0.9843729999995506
Episode 2426, Total Reward: 1.0, Total Frames: 15640, epsilon 0.9843599999995503
Episode 2427, Total Reward: 0.0, Total Frames: 15642, epsilon 0.9843579999995502
Episode 2428, Total Reward: 0.0, Total Frames: 15644, epsilon 0.9843559999995501
Episode 2429, Total Reward: 0.0, Total Frames: 15646, epsilon 0.9843539999995501
Episode 2430, Total Reward: 1.0, Total Frames: 15660, epsilon 0.9843399999995497
Episode 2431, Total Reward: 0.0, Total Frames: 15662, epsilon 0.9843379999995496
Episode 2432, Total Reward: 0.0, Total Frames: 15664, epsilon 0.9843359999995496
Episode 2433, Total Reward: 0.0, Total Frames: 15666, epsilon 0.9843339999995495
Episode 2434, Total Reward: 0.0, Total Frames: 15668, epsilon 0.9843319999995495
Episode 2435, Total Reward: 1.0, Total Frames: 15681, epsilon 0.9843189999995491
Episode 2436, Total Reward: 0.0, Total Frames: 15683, epsilon 0.984316999999549
Episode 2437, Total Reward: 1.0, Total Frames: 15694, epsilon 0.9843059999995487
Episode 2438, Total Reward: 1.0, Total Frames: 15708, epsilon 0.9842919999995483
Episode 2439, Total Reward: 0.0, Total Frames: 15716, epsilon 0.9842839999995481
Episode 2440, Total Reward: 0.0, Total Frames: 15718, epsilon 0.984281999999548
Episode 2441, Total Reward: 0.0, Total Frames: 15720, epsilon 0.984279999999548
Episode 2442, Total Reward: 0.0, Total Frames: 15722, epsilon 0.9842779999995479
Episode 2443, Total Reward: 0.0, Total Frames: 15724, epsilon 0.9842759999995478
Episode 2444, Total Reward: 1.0, Total Frames: 15735, epsilon 0.9842649999995475
Episode 2445, Total Reward: 2.0, Total Frames: 15755, epsilon 0.984244999999547
Episode 2446, Total Reward: 0.0, Total Frames: 15767, epsilon 0.9842329999995466
